,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,T3,TEMA,TRIMA
0,4,2.2724517875903,2.6527720244304227,2.8969721494649274,3.8003514757794528,2.2995854233721817,2.171369439662884,1.97845828773732,4.609341729520245,2.4112246479936514
1,5,1.8394509024040828,2.3558151173735564,2.481058350716241,3.3275250784709436,1.8412816445448004,1.8265970546395198,1.6402771521103137,4.262302228355748,1.9943821607230325
2,6,1.583886300138824,2.1595321111397037,2.194320026720688,2.9459243504635806,1.536136347709822,1.6057865443056247,1.5109720084090703,3.8788446205870204,1.6797099480991475
3,7,1.4612903031136018,2.02675807717239,1.9906289813372244,2.651927421029136,1.5061965752039652,1.5580957516164913,1.5140145718931162,3.5104320042114057,1.48634816841842
4,8,1.4475161828015246,1.935301594826535,1.8539345400569855,2.4296479689283714,1.509565922846975,1.6215948379658895,1.6015797503231952,3.184122790534034,1.3733367480828782
5,9,1.5023247039751881,1.8715840445931606,1.7654088877443297,2.2623772892210248,1.595616574938496,1.8032000364892586,1.7487625387779575,2.9085232895975874,1.336268561627628
6,10,1.6108733481987705,1.827095977374539,1.7071872716941792,2.1362038552643146,1.7203204254222246,2.052147379149461,1.9455960179854028,2.6818918957314994,1.3655014871118196
7,11,1.8173879004473275,1.7963898671852547,1.6748053052013139,2.040508751767681,1.9692116007826552,2.7082812750202803,2.1847961782126597,2.498139257044736,1.453185231996959
8,12,2.0581187874371096,1.7759194218474885,1.6639895541982768,1.9674712279289417,2.2915226161164814,3.7217982504084515,2.4342104488573484,2.3501166177394244,1.6056252191998333
9,13,2.354577578627988,1.763354216777473,1.6693763488498539,1.9114052867877076,2.4747682696213387,6.310907990176048,2.5731509738360834,2.231102752975447,1.7949730031597875
10,14,2.4566131848969452,1.7571669153072855,1.6828486223097927,1.8681836090039796,2.4412041192823764,2.9576005097800544,2.3582860815424285,2.1353350451485165,2.0148320011051175
11,15,2.4476817185842283,1.7563804886525438,1.7018959347114602,1.834797714659514,2.3647602982859004,2.3207907357043074,1.9248164973153845,2.058094614124328,2.2166199064351804
12,16,2.617069031984169,1.7604117580796679,1.7292401197979386,1.809039125159128,2.467042280883765,2.40998358814101,2.2815305415753078,1.9956097157826578,2.4053247071905135
13,17,2.9566631276093216,1.7689745166946134,1.7658223778607518,1.7892731444835697,2.648892421535693,2.1614786598408076,3.0525058105734346,1.9449029399339586,2.5216822380336863
14,18,3.3138347355524216,1.7820205218774592,1.808975252608954,1.7742794679589349,2.92616836798648,1.9174604253382748,3.245714326251249,1.9036368922217064,2.497089517869549
15,19,3.4634470701247664,1.799705062438304,1.8543753119753592,1.7631398124865039,3.137023380205212,1.7969411302979847,3.041300841972321,1.8699789471749562,2.256052004036902
16,20,3.5006433976417206,1.822368328678346,1.8988898320024377,1.7551583313181534,3.297126868235297,1.7800405846064917,2.7600610692360408,1.842490200342366,1.9638381809390653
17,21,2.637365837416918,1.8505257514657951,1.9378685031588498,1.7498048705351936,2.899279202495268,1.8578924154972656,2.517348448905389,1.8200373491524764,1.9080781357609387
18,22,2.2603283330620783,1.8848602113649373,1.9722360484064805,1.7466742033055747,2.3105631099346002,1.985082819215856,2.3308886243909726,1.801724051395456,2.2182886487197204
19,23,3.0702089215174864,1.9262061503934624,2.007557757636172,1.7454565156864004,2.1327817743985134,2.217509112685748,2.192190001135981,1.7868379733597959,2.587147076119513
20,24,3.93957206236624,1.9755088104677976,2.046897758366227,1.7459158817807525,2.179576475159782,2.259514716150282,2.089426574036266,1.7748101214332481,2.755775839945648
21,25,5.448250938789118,2.0337283679830884,2.093112198130601,1.7478744647427713,2.3473004200967513,8.253518159814204,2.0128161072908397,1.7651836418951512,2.7541937823356735
22,26,5.239699919998437,2.101633897601373,2.1491641808314546,1.7512008623422353,2.674514419033157,4.5794870859369174,1.9551646090319839,1.7575898599772006,2.680319697603326
23,27,4.543828454129977,2.1793887145347566,2.2156867034448653,1.7558014839276712,2.784629298331813,2.9185641451347357,1.9113564653838144,1.7517298345000551,2.5686326972301345
